BOWLER_NAME,TOTAL_WICKETS,BOWLED,CAUGHT,CAUGHT_&_BOWLED,LBW
"Arshdeep Singh",14,2,9,1,0
"Ravi Bishnoi",14,3,7,0,2
"Joginder Sharma",13,3,8,0,1
"JDP Oram",13,0,8,1,0
"SM Pollock",13,0,9,0,1
"Kamran Khan",13,4,5,0,0
"CK Langeveldt",13,1,11,0,1
"RS Bopara",13,2,6,3,0
"BA Bhatt",13,1,8,1,2
"SC Ganguly",12,4,6,0,0
"AG Murtaza",12,1,6,0,2
"Ankit Sharma",12,2,8,0,2
"V Pratap Singh",12,2,8,0,0
"BCJ Cutting",12,3,7,0,0
"J Suchith",12,2,8,1,0
"JD Ryder",11,2,6,0,0
"KP Appanna",11,1,5,0,1
"Pankaj Singh",11,2,9,0,0
"J Theron",11,4,4,0,1
"A Chandila",11,0,4,5,0
"S Badree",11,3,6,0,2
"BE Hendricks",11,1,8,0,0
"Mohammad Nabi",11,3,7,0,0
"JL Pattinson",11,1,8,0,2
"DJ Hussey",10,1,6,0,0
"T Thushara",10,1,7,0,0
"J Syed Mohammad",10,1,6,0,0
"Anand Rajan",10,1,6,0,1
"MN Samuels",10,2,7,0,0
"B Laughlin",10,1,9,0,0
"KMA Paul",10,0,9,0,0
"Kartik Tyagi",10,0,9,0,0
"Mohammad Asif",9,2,5,1,0
"Shahid Afridi",9,1,6,0,2
"SB Styris",9,0,8,0,0
"AM Nayar",9,1,8,0,0
"BAW Mendis",9,0,6,1,1
"KP Pietersen",9,1,5,0,1
"SE Bond",9,1,6,1,1
"JEC Franklin",9,1,8,0,0
"P Parameswaran",9,1,7,1,0
"SMSM Senanayake",9,4,1,0,3
"TK Curran",9,1,8,0,0
"IS Sodhi",9,1,7,0,1
"M Ntini",8,4,3,0,0
"A Mithun",8,2,5,0,0
"S Randiv",8,0,4,0,0
"AA Chavan",8,1,5,0,2
"KC Cariappa",8,1,3,1,1
"GC Viljoen",8,1,5,0,1
"I Udana",8,2,6,0,0
"P Amarnath",7,1,6,0,0
"B Akhil",7,1,4,0,0
"RR Raje",7,2,4,0,0
"Y Venugopal Rao",7,1,4,0,1
"AM Salvi",7,0,6,0,1
"TL Suman",7,0,6,0,0
"PC Valthaty",7,1,5,0,1
"R Shukla",7,3,2,0,0
"DJ Hooda",7,0,6,0,0
"B Stanlake",7,1,6,0,0
"C de Grandhomme",7,0,5,0,1
"N Rana",7,2,3,0,1
"V Shankar",7,1,5,0,0
"HF Gurney",7,0,5,0,2
"SB Bangar",6,1,3,0,0
"V Sehwag",6,2,3,0,0
"VS Malik",6,0,5,0,1
"FH Edwards",6,1,3,0,1
"S Tyagi",6,2,4,0,0
"Jaskaran Singh",6,0,5,0,1
"R Sathish",6,1,1,1,0
"S Narwal",6,1,4,0,0
"RV Gomez",6,2,2,0,1
"JE Taylor",6,0,6,0,0
"KMDN Kulasekara",6,1,3,1,0
"M de Lange",6,2,3,0,0
"J Yadav",6,2,3,1,0
"S Kaushik",6,0,6,0,0
"AS Joseph",6,3,2,1,0
"MJ Santner",6,0,6,0,0
"SS Cottrell",6,1,5,0,0
"V Kohli",5,1,3,0,0
"Shoaib Akhtar",5,0,4,0,1
"TM Dilshan",5,1,3,0,0
"Shoaib Ahmed",5,1,3,0,1
"S Ladda",5,1,2,0,0
"PD Collingwood",5,1,3,1,0
"SB Wagh",5,0,5,0,0
"AP Dole",5,2,3,0,0
"L Ablish",5,2,1,0,0
"Gurkeerat Singh",5,1,4,0,0
"AF Milne",5,1,3,0,0
"A Choudhary",5,0,5,0,0
"TS Mills",5,2,2,0,1
"Avesh Khan",5,1,3,1,0
"JP Behrendorff",5,0,5,0,0
"O Thomas",5,0,5,0,0
"KL Nagarkoti",5,0,5,0,0
"S Dube",5,1,3,0,0
"WA Mota",4,0,4,0,0
"DP Vijaykumar",4,0,4,0,0
"D du Preez",4,0,4,0,0
"Y Nagar",4,0,3,1,0
"S Dhawan",4,1,3,0,0
"Parvez Rasool",4,1,3,0,0
"Shivam Sharma",4,2,2,0,0
"DJ Muthuswami",4,0,3,0,1
"Ankit Soni",4,0,1,0,1
"LE Plunkett",4,1,3,0,0
"Gagandeep Singh",3,1,2,0,0
"DJ Thornely",3,0,2,1,0
"SM Harwood",3,0,3,0,0
"A Uniyal",3,0,1,0,1
"JM Kemp",3,0,2,0,1
"R Ninan",3,0,3,0,0
"JJ van der Wath",3,0,3,0,0
"AL Menaria",3,0,1,1,0
"DAJ Bracewell",3,1,2,0,0
"RN ten Doeschate",3,0,1,1,0
"RJ Peterson",3,0,3,0,0
"MJ Clarke",3,1,1,0,0
"JDS Neesham",3,0,3,0,0
"K Santokie",3,0,3,0,0
"JW Hastings",3,1,2,0,0
"P Sahu",3,0,1,0,1
"T Shamsi",3,0,1,1,0
"SM Boland",3,0,2,0,0
"Sachin Baby",3,0,2,0,0
"TM Head",3,0,1,0,0
"K Khejroliya",3,1,1,0,1
"KM Asif",3,0,3,0,0
"Abhishek Sharma",3,0,2,0,1
"TU Deshpande",3,0,3,0,0
"B Geeves",2,0,1,0,0
"Mohammad Hafeez",2,1,0,0,0
"MA Khote",2,0,2,0,0
"D Kalyankrishna",2,0,2,0,0
"DNT Zoysa",2,0,1,1,0
"Shoaib Malik",2,0,1,1,0
"SD Chitnis",2,0,2,0,0
"A Flintoff",2,0,1,1,0
"C Nanda",2,0,2,0,0
"ND Doshi",2,1,1,0,0
"LJ Wright",2,0,2,0,0
"P Suyal",2,0,2,0,0
"KJ Abbott",2,1,1,0,0
"MJ Henry",2,0,1,0,0
"DJ Willey",2,0,2,0,0
"JPR Scantlebury-Searles",2,0,2,0,0
"SC Kuggeleijn",2,0,2,0,0
"R Parag",2,0,2,0,0
"S Sandeep Warrier",2,0,2,0,0
"Shahbaz Ahmed",2,0,2,0,0
"AA Noffke",1,0,1,0,0
"D Salunkhe",1,0,0,0,0
"SB Joshi",1,0,1,0,0
"DB Ravi Teja",1,0,1,0,0
"S Vidyut",1,0,1,0,0
"A Nel",1,0,1,0,0
"PM Sarvesh Kumar",1,0,1,0,0
"T Henderson",1,0,1,0,0
"GR Napier",1,0,1,0,0
"LA Carseldine",1,0,1,0,0
"AM Rahane",1,1,0,0,0
"Mashrafe Mortaza",1,0,0,0,0
"SS Sarkar",1,1,0,0,0
"AC Voges",1,0,0,0,0
"FY Fazal",1,0,0,0,0
"MK Tiwary",1,0,1,0,0
"AA Kazi",1,0,0,0,0
"SS Mundhe",1,0,1,0,0
"TP Sudhindra",1,0,1,0,0
"CJ McKay",1,0,1,0,0
"AA Jhunjhunwala",1,1,0,0,0
"GH Vihari",1,0,1,0,0
"Harmeet Singh (2)",1,0,1,0,0
"AJ Finch",1,0,1,0,0
"BMAJ Mendis",1,0,0,0,0
"CL White",1,0,1,0,0
"AC Gilchrist",1,0,1,0,0
"LMP Simmons",1,1,0,0,0
"RG More",1,0,1,0,0
"GS Sandhu",1,0,1,0,0
"Swapnil Singh",1,0,0,1,0
"NB Singh",1,0,1,0,0
"SS Agarwal",1,0,0,1,0
"DJM Short",1,0,1,0,0
"Y Prithvi Raj",1,1,0,0,0
"AS Roy",1,0,1,0,0
"SE Rutherford",1,0,1,0,0
"Abdul Samad",1,0,1,0,0
"JR Hazlewood",1,0,1,0,0
